variable,Coef,Std Err,P>|t|,Significativo
const,-67124.55263783722,48122.49901006466,0.16305553131615236,False
Es_Electrico,-105.87038986931145,20.34962712161847,1.9654971312830118e-07,True
Year,33.19669463687375,23.782459048318596,0.1627603136976563,False
Base Price (USD),0.0005111399793660128,0.0007027923307413342,0.46704296744792395,False
Range (mi),-0.07265285938205128,0.07590766364712324,0.338505916349099,False
Vehicle Type_Minivan,33.259589574392045,24.896149175660053,0.18157114312260292,False
Vehicle Type_Pick-up,39.923707261755915,34.14028476644358,0.24224182267983585,False
Vehicle Type_SUV,27.804270013212207,15.926797790726793,0.08085371752978002,False
Vehicle Type_Sedan,131.5854868973461,16.431313867988976,1.1638572719824765e-15,True
