Month,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
1,336.9,341.9,235.3,263.2,244.4,262.6,247.7,210.7,251.2,363.6,370.0,362.5
2,339.3,365.1,252.9,253.0,239.8,267.8,241.0,194.4,240.9,362.4,393.3,383.5
3,336.1,429.5,279.6,237.7,255.5,263.3,236.7,199.9,256.2,374.0,392.2,398.1
4,351.3,411.0,281.2,212.8,277.2,279.8,244.9,218.6,259.5,379.9,376.3,408.8
5,358.6,463.2,295.0,208.1,289.7,297.4,245.4,234.4,279.3,386.0,369.6,390.8
6,358.9,485.4,305.4,214.9,279.0,298.7,242.0,238.5,287.9,385.7,370.4,367.6
7,361.7,459.4,312.0,219.7,279.9,292.5,237.0,234.1,288.3,384.3,379.9,365.4
8,384.9,417.5,314.9,218.8,275.0,291.0,243.5,227.0,268.8,369.7,384.2,387.7
9,380.9,368.9,322.4,219.4,265.5,290.7,275.7,226.7,244.2,358.9,378.5,404.3
10,368.0,359.6,335.0,216.3,260.2,290.8,259.7,230.9,231.4,344.0,359.4,401.4
11,346.4,376.0,349.4,214.7,260.0,279.7,261.0,233.4,228.4,321.9,353.0,386.2
12,329.5,341.9,344.1,220.6,259.6,260.5,256.0,237.8,222.3,293.7,363.7,374.1
